Section,Problem,Solution,Feature,Implementation Note
,Ryan is frustrated because he's running outreach for 50+ contacts at once across multiple product lists but he has no idea how many tokens or sends he has left and when he'll hit his daily sending cap so he ends up sending in small batches manually.,He can send emails in bulk to large lists of contacts and clearly see how many tokens or sends remain.,Bulk send mode with token + daily-limit meter,Email page → For Review tab → top meter showing Tokens this month Daily limit Selected count + estimated finish time + bottom bulk action bar with Send N emails button
,Ryan wants to automate the email process in steps and create a product-specific content template to reach a larger number of people but he's now stuck in the manual follow-up process.,He can set up the email templates by steps and just check who replied within 3 days and hit send.,Sequencing filters (Step 1 2 3 — if no reply send this template),Email page → For Review preview → right panel Sequence card shows Day 0 Intro → Day 3 Follow-up #1 (auto-queued) → Day 7 Follow-up #2 → Day 14 Final break-up with current step highlighted
,There is no way to see what happened across all emails without digging through the overall inbox list after sending the first email.,He can see inbox in order — whom to reply back to first after 3 days and whom to send follow-up to check in.,Inbox sorted by sentiment priority (positive → neutral → negative) with stage markers,Email page → Inbox tab → reply list sorted by sentiment with unread dots; sentiment badges (Positive Promising Declined) on each item
,He wants to see the overall progress of email outreach for this month/week but it's hard to view that in metrics or visuals.,He can see the full status of each product outreach at a glance by week or month to keep up with his performance.,Summary tab — weekly/monthly metrics broken down by campaign/list,Email page → Summary tab (default) → This Week + April 2026 cards with Sent Replied No Response Reply Rate + per-list breakdown bars (Sunscreen Neck Cream Vitamin C)
,Ryan wants to send personalized emails but writing personalized emails for each contact across different product lists takes too long.,Each outreach is automatically tailored to the specific product and name of contact.,AI Lead Overview + AI-drafted personalized emails using product list context contact role brand growth signals,Email page → For Review preview → right panel AI Lead Overview card showing brand traction company context decision-maker context; email body pre-drafted referencing specific product and brand signals
,It takes more time than Ryan thought to draft the follow-up email per contact since he is managing two products and all the content and critical conversations were hard to remember (details blur across).,He can auto-draft the follow-ups by referencing the previous conversation and see which step he is currently at.,Open Sequencing and hit sequence step 2 — auto-drafted follow-up referencing thread context,Email page → For Review → Sequence panel shows current step + queued auto-drafts; click sequence step to open drafted follow-up that references the prior thread
,Ryan wants to classify email replies — currently there is no way to mark replies as positive/negative so he can revisit them to follow-up later.,He can sense when a reply is positive (open for a deal) vs negative (declined) without reading every email.,Sentiment classification — AI views and assesses sentiment (Positive Promising Declined),Email page → Inbox → each reply has a SentimentBadge (Positive green Promising blue Declined gray); detail view shows Sentiment insight card explaining the reasoning
,Different product segments (campaigns) need different messaging but there's no way to separate them — sunscreen and neck cream are different conversations.,He can send emails per campaign — run a separate campaign per product segment with its own template.,View Campaigns per list — Sunscreen Neck Cream Vitamin C Serum each as distinct campaigns with own template cadence and tracking,Email page → left sidebar Campaigns section with cards (Q2 Sunscreen Launch Spring Manufacturing Outreach Q2 Neck Cream Intro Vitamin C Spring 2026) showing status active/draft and stats; persistent Campaign Switcher in header filters across pages
,Ryan is frustrated because emails sent all at once trigger spam filters but he doesn't know what safe pacing looks like.,The system automatically paces sends throughout the day (4-8 min apart business hours only) so his domain reputation stays intact.,Auto-pacing with progress indicator,Email page → Bulk Send modal explains Spaced naturally throughout the day to protect domain reputation; Sent tab shows progress 8/12 sent next at 3:42 PM (planned)
,Ryan is frustrated because before bulk-sending 20 emails he wants one final review of what's actually going out and to which campaigns.,He sees a confirmation modal with breakdown by campaign + token usage + estimated finish time + pacing info before any send fires.,Bulk Send confirmation modal with campaign breakdown,Email page → Send N emails button → modal shows breakdown (5 to Sunscreen 4 to Neck Cream 3 to Vitamin C) + Tokens used Remaining after Estimated completion Pacing
,,,,
TOKENS — Ryan wants visibility into his usage and clear control over spending,,,,
,Ryan is frustrated because he can never tell how many tokens he has left or what he just spent — running out mid-batch ruins his afternoon.,He can see his current token balance in the navbar at all times and his usage history in a dedicated page.,Token Balance in navbar + Token History page,Navbar → token counter (48 tokens); Token History page → usage log with date action type contact tokens deducted
,Ryan is frustrated because the system charges tokens for actions but he's never sure exactly which clicks cost what — and he doesn't want surprise charges.,Every paid action shows a clear pre-deduction modal stating cost before any token is taken.,Token deduction confirmation modal (anti-dark-pattern),All token actions → confirmation modal with explicit cost; Cancel is at least as visible as Confirm
,Ryan is frustrated because he keeps re-revealing the same contact's email and worries he's being charged again.,Once a contact's email is revealed he can return any time without paying again — the system remembers what he has unlocked.,Idempotent reveal — repeat access to same contact is free,Search page / People page → revealed contacts show full email permanently; no re-charge on re-view
,,,,
TASKS / BACKLOG (planned),,,,
,Ryan is frustrated because his end-to-end workflow (research → list → outreach → close) lives in his head — he wants a Kanban view of all his work in progress.,He can see all his work as cards on a Kanban board with stages: Research → Listed → People Found → Outreach Sent → Replied → Closed.,Tasks page — Kanban board mirroring Ryan's actual workflow,Tasks page (in nav) → 6-column Kanban with cards linking to Brand/Product/Person; events from Search/Lists/Email auto-create tasks
,Ryan is frustrated because everything he does in Search and Lists creates tasks elsewhere in his workflow but he has to mentally connect them.,Adding a product to a list auto-creates a Listed task; revealing email auto-creates a People Found task; sending outreach auto-creates an Outreach Sent task.,Auto-task creation linked to user actions across Search/Lists/Email,Tasks page → automatically populated from upstream actions; Kanban cards include source link back to originating action
